State,Abbreviation,governmentattic.org,MuckRock
ALABAMA,AL,,
ALASKA,AK,,https://www.muckrock.com/foi/alaska-235/rejected-personalized-aka-vanity-license-plates-in-2013-alaska-11862/
ARIZONA,AZ,http://www.governmentattic.org/7docs/AZ-BannedPlates_2012.pdf,
ARKANSAS,AR,http://www.governmentattic.org/7docs/AR-BannedPlates_2012.pdf,
CALIFORNIA,CA,http://www.governmentattic.org/7docs/CA-BannedPlates_2012.pdf,https://www.muckrock.com/foi/california-52/rejected-personalized-aka-vanity-license-plates-in-2013-department-of-motor-vehicles-11655/
COLORADO,CO,http://www.governmentattic.org/13docs/CO-BannedPlates_2012.pdf,
District of Columbia,DC,http://www.governmentattic.org/7docs/DC-BannedPlates_2012.pdf,
CONNECTICUT,CT,,
DELAWARE,DE,,
FLORIDA,FL,,
GEORGIA,GA,http://www.governmentattic.org/13docs/GA-BannedPlates_2012.pdf,
HAWAII,HI,,
IDAHO,ID,,
ILLINOIS,IL,,
INDIANA,IN,,
IOWA,IA,http://www.governmentattic.org/7docs/IA-BannedPlates_2012.pdf,
KANSAS,KS,http://www.governmentattic.org/7docs/KS-BannedPlates_2012.pdf,
KENTUCKY,KY,,
LOUISIANA,LA,,
MAINE,ME,http://www.governmentattic.org/7docs/ME-BannedPlates_2012.pdf,
MARYLAND,MD,,
MASSACHUSETTS,MA,,
MICHIGAN,MI,http://www.governmentattic.org/7docs/MI-bannedPlates_2012.pdf,
MINNESOTA,MN,,
MISSISSIPPI,MS,,
MISSOURI,MO,http://www.governmentattic.org/7docs/MO-BannedPlates_2012.pdf,
MONTANA,MT,http://www.governmentattic.org/7docs/MT-BannedPlates_2012.pdf,https://www.muckrock.com/foi/montana-157/rejected-vanity-plates-in-montana-11681/
NEBRASKA,NE,,
NEVADA,NV,,
NEW HAMPSHIRE,NH,,https://www.muckrock.com/foi/new-hampshire-81/rejected-personalized-aka-vanity-license-plates-in-2013-department-of-motor-vehicles-11650/
NEW JERSEY,NJ,http://www.governmentattic.org/7docs/NJ-BannedPlates_2012.pdf,https://www.muckrock.com/foi/new-jersey-229/rejected-personalized-aka-vanity-license-plates-in-2013-motor-vehicle-commission-11649/
NEW MEXICO,NM,http://www.governmentattic.org/7docs/NM-BannedPlates_2012.pdf,
NEW YORK,NY,http://www.governmentattic.org/7docs/NY-BannedPlates_2012.pdf,
NORTH CAROLINA,NC,,
NORTH DAKOTA,ND,http://www.governmentattic.org/7docs/ND-BannedPlates_2010-2012.pdf,
OHIO,OH,http://www.governmentattic.org/7docs/OH-BannedPlates_2012.pdf,
OKLAHOMA,OK,http://www.governmentattic.org/7docs/OK-BannedPlates_2010-2013.pdf,
OREGON,OR,,https://www.muckrock.com/foi/oregon-158/rejected-personalized-aka-vanity-license-plates-in-2013-oregon-11590/
PENNSYLVANIA,PA,,
RHODE ISLAND,RI,http://www.governmentattic.org/7docs/RI-BannedPlates_2012.pdf,
SOUTH CAROLINA,SC,,
SOUTH DAKOTA,SD,http://www.governmentattic.org/7docs/SD-BannedPlates_2012.pdf,
TENNESSEE,TN,http://www.governmentattic.org/7docs/TN-BannedPlates_2012.pdf,
TEXAS,TX,,https://www.muckrock.com/foi/texas-109/vanity-plate-rejections-in-2013-texas-11594/
UTAH,UT,http://www.governmentattic.org/7docs/UT-BannedPlates_2012.pdf,
VERMONT,VT,http://www.governmentattic.org/7docs/VT-BannedPlates_2012.pdf,
VIRGINIA,VA,,https://www.muckrock.com/foi/virginia-128/list-of-all-rejected-personalized-virginia-license-plates-in-2013-9837/
WASHINGTON,WA,http://www.governmentattic.org/7docs/WA-BannedPlates_2012.pdf,https://www.muckrock.com/foi/washington-54/rejected-personalized-aka-vanity-license-plates-in-2013-washington-11661/
WEST VIRGINIA,WV,,
WISCONSIN,WI,http://www.governmentattic.org/7docs/WI-BannedPlates_2012.pdf,https://www.muckrock.com/foi/wisconsin-146/rejected-personalized-aka-vanity-license-plates-in-2013-division-of-motor-vehicles-11654/
WYOMING,WY,http://www.governmentattic.org/7docs/WY-BannedPlates_2012.pdf,
